Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded,Wikipedia Company Page URL,Company Name
ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",1/31/1989,31462,,https://en.wikipedia.org/wiki/Ecolab_Inc.,Ecolab
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",4/1/2011,1099800,,https://en.wikipedia.org/wiki/Edwards_Lifesciences,Edwards Lifesciences
EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/2002,712515,,https://en.wikipedia.org/wiki/Electronic_Arts,Electronic Arts
ANTM,Anthem,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/2002,1156039,2014 (1940s),https://en.wikipedia.org/wiki/Anthem_(company),Elevance Health
LLY,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/1970,59478,1876,https://en.wikipedia.org/wiki/Lilly_(Eli)_%26_Co.,Eli Lilly and Company
EMR,Emerson Electric Company,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/1965,32604,1890,https://en.wikipedia.org/wiki/Emerson_Electric_Company,Emerson Electric
ETR,Entergy Corp.,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",,65984,1913,https://en.wikipedia.org/wiki/Entergy_Corp.,Entergy
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/2000,821189,,https://en.wikipedia.org/wiki/EOG_Resources,EOG Resources
EFX,Equifax Inc.,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/1997,33185,,https://en.wikipedia.org/wiki/Equifax_Inc.,Equifax
EQIX,Equinix,reports,Real Estate,Specialized REITs,"Redwood City, California",3/20/2015,1101239,,https://en.wikipedia.org/wiki/Equinix,Equinix
EQR,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",12/3/2001,906107,,https://en.wikipedia.org/wiki/Equity_Residential,Equity Residential
ESS,"Essex Property Trust, Inc.",reports,Real Estate,Residential REITs,"Palo Alto, California",4/2/2014,920522,,"https://en.wikipedia.org/wiki/Essex_Property_Trust,_Inc.",Essex Property Trust
RE,Everest Re Group Ltd.,reports,Financials,Reinsurance,"Hamilton, Bermuda",6/19/2017,1095073,,https://en.wikipedia.org/wiki/Everest_Re,Everest Re
EVRG,Evergy,reports,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/2018,1711269,1909,https://en.wikipedia.org/wiki/Evergy,Evergy
ES,Eversource Energy,reports,Utilities,Multi-Utilities,"Springfield, Massachusetts",,72741,1966,https://en.wikipedia.org/wiki/Eversource_Energy,Eversource Energy
EXC,Exelon Corp.,reports,Utilities,Multi-Utilities,"Chicago, Illinois",,1109357,2000,https://en.wikipedia.org/wiki/Exelon_Corp.,Exelon
EXPE,Expedia Group,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",10/2/2007,1324424,,https://en.wikipedia.org/wiki/Expedia_Group,Expedia Group
EXPD,Expeditors,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,746515,,https://en.wikipedia.org/wiki/Expeditors_International,Expeditors International
EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",1/19/2016,1289490,,https://en.wikipedia.org/wiki/Extra_Space_Storage,Extra Space Storage
XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,"Irving, Texas",,34088,1999,https://en.wikipedia.org/wiki/Exxon_Mobil_Corp.,ExxonMobil
FFIV,F5 Networks,reports,Information Technology,Communications Equipment,"Seattle, Washington",12/20/2010,1048695,1996,https://en.wikipedia.org/wiki/F5_Networks,"F5, Inc."
FAST,Fastenal Co,reports,Industrials,Building Products,"Winona, Minnesota",9/15/2009,815556,,https://en.wikipedia.org/w/index.php?title=Fastenal_Co&action=edit&redlink=1,Fastenal Co
FRT,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,"Rockville, Maryland",2/1/2016,34903,,https://en.wikipedia.org/wiki/Federal_Realty_Investment_Trust,Federal Realty Investment Trust
FDX,FedEx Corporation,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/1980,1048911,,https://en.wikipedia.org/wiki/FedEx_Corporation,FedEx
FITB,Fifth Third Bancorp,reports,Financials,Regional Banks,"Cincinnati, Ohio",,35527,1858,https://en.wikipedia.org/wiki/Fifth_Third_Bancorp,Fifth Third Bank
FRC,First Republic Bank,reports,Financials,Regional Banks,"San Francisco, California",1/2/2019,1132979,1985,https://en.wikipedia.org/wiki/First_Republic_Bank,First Republic Bank
FE,FirstEnergy Corp,reports,Utilities,Electric Utilities,"Akron, Ohio",,1031296,1997,https://en.wikipedia.org/wiki/FirstEnergy_Corp,FirstEnergy
FIS,Fidelity National Information Services,reports,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",11/10/2006,1136893,,https://en.wikipedia.org/wiki/Fidelity_National_Information_Services,FIS
FISV,Fiserv Inc,reports,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",4/2/2001,798354,,https://en.wikipedia.org/wiki/Fiserv_Inc,Fiserv
FLT,FleetCor Technologies Inc,reports,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",6/20/2018,1175454,2000,https://en.wikipedia.org/wiki/Fleetcor,Fleetcor
FLS,Flowserve Corporation,reports,Industrials,Industrial Machinery,"Irving, Texas",10/2/2008,30625,,https://en.wikipedia.org/wiki/Flowserve_Corporation,Flowserve
FMC,FMC Corporation,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/2009,37785,,https://en.wikipedia.org/wiki/FMC_Corporation,FMC Corporation
F,Ford Motor,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,37996,1903,https://en.wikipedia.org/wiki/Ford_Motor,Ford Motor Company
FTNT,Fortinet,reports,Information Technology,Systems Software,"Sunnyvale, California",10/11/2018,1262039,2000,https://en.wikipedia.org/wiki/Fortinet,Fortinet
FOXA,Fox Corporation Class A,reports,Communication Services,Movies & Entertainment,"New York, New York",7/1/2013,1308161,,https://en.wikipedia.org/wiki/Fox_Corporation_Class_A,Fox Corporation
BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777,1947,https://en.wikipedia.org/wiki/Franklin_Resources,Franklin Templeton Investments
FCX,Freeport-McMoRan Inc.,reports,Materials,Copper,"Phoenix, Arizona",,831259,1912,https://en.wikipedia.org/wiki/Freeport-McMoRan_Inc.,Freeport-McMoRan
GPS,Gap Inc.,reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",8/31/1986,39911,,https://en.wikipedia.org/wiki/Gap_Inc.,Gap Inc.
GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1121788,,https://en.wikipedia.org/wiki/Garmin_Ltd.,Garmin
IT,Gartner Inc,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/2017,749251,,https://en.wikipedia.org/wiki/Gartner,Gartner
GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",,40533,1899,https://en.wikipedia.org/wiki/General_Dynamics,General Dynamics
GE,General Electric,reports,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545,1892,https://en.wikipedia.org/wiki/General_Electric,General Electric
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/31/1969,40704,1856,https://en.wikipedia.org/wiki/General_Mills,General Mills
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,1467858,,https://en.wikipedia.org/wiki/General_Motors,General Motors
GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",12/31/1973,40987,1925,https://en.wikipedia.org/wiki/Genuine_Parts,Genuine Parts Company
GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",7/1/2004,882095,,https://en.wikipedia.org/wiki/Gilead_Sciences,Gilead Sciences
GPN,Global Payments Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",4/25/2016,1123360,,https://en.wikipedia.org/wiki/Global_Payments_Inc.,Global Payments
GL,Globe Life Inc.,reports,Financials,Life & Health Insurance,"McKinney, Texas",4/30/1989,320335,,https://en.wikipedia.org/wiki/Torchmark_Corp.,Globe Life
GS,Goldman Sachs Group,reports,Financials,Investment Banking & Brokerage,"New York, New York",7/22/2002,886982,,https://en.wikipedia.org/wiki/Goldman_Sachs_Group,Goldman Sachs
GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",6/30/1981,277135,,https://en.wikipedia.org/wiki/Grainger_(W.W.)_Inc.,Grainger
HRB,H&R Block,reports,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",11/30/1986,12659,,https://en.wikipedia.org/wiki/H%26R_Block,H&R Block
HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,45012,1919,https://en.wikipedia.org/wiki/Halliburton_Co.,Halliburton
HBI,Hanesbrands Inc,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",3/20/2015,1359841,,https://en.wikipedia.org/wiki/Hanesbrands_Inc,Hanesbrands
HOG,Harley-Davidson,reports,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,793952,1903,https://en.wikipedia.org/wiki/Harley-Davidson,Harley-Davidson
HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/1984,46080,,https://en.wikipedia.org/wiki/Hasbro_Inc.,Hasbro
HCA,HCA Healthcare,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",1/27/2015,860730,,https://en.wikipedia.org/wiki/HCA_Healthcare,HCA Healthcare
PEAK,Healthpeak Properties,reports,Real Estate,Health Care REITs,"Long Beach, California",3/31/2008,765880,,https://en.wikipedia.org/wiki/Healthpeak_Properties,Healthpeak Properties
HP,Helmerich & Payne,reports,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",3/1/2010,46765,,https://en.wikipedia.org/wiki/Helmerich_%26_Payne,Helmerich & Payne
HSIC,Henry Schein,reports,Health Care,Health Care Distributors,"Melville, New York",3/17/2015,1000228,,https://en.wikipedia.org/wiki/Henry_Schein,Henry Schein
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York, New York",5/31/1984,4447,,https://en.wikipedia.org/wiki/Hess_Corporation,Hess Corporation
HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",11/2/2015,1645590,,https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise,Hewlett Packard Enterprise
HLT,Hilton Worldwide Holdings Inc,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",6/19/2017,1585689,,https://en.wikipedia.org/wiki/Hilton_Worldwide_Holdings_Inc,Hilton Worldwide
HFC,HollyFrontier Corp,reports,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",6/18/2018,48039,,https://en.wikipedia.org/wiki/HollyFrontier,HollyFrontier Corporation
HOLX,Hologic,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",3/30/2016,859737,,https://en.wikipedia.org/wiki/Hologic,Hologic
HON,Honeywell Int'l Inc.,reports,Industrials,Industrial Conglomerates,"Morristown, New Jersey",3/31/1964,773840,1906,https://en.wikipedia.org/wiki/Honeywell_Int%27l_Inc.,Honeywell
HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/2009,48465,,https://en.wikipedia.org/wiki/Hormel_Foods_Corp.,Hormel Foods
HST,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",3/20/2007,1070750,,https://en.wikipedia.org/wiki/Host_Hotels_%26_Resorts,Host Hotels & Resorts
HPQ,HP Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",12/31/1974,47217,1939 (2015),https://en.wikipedia.org/wiki/HP_Inc.,HP Inc.
HUM,Humana Inc.,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,49071,1961,https://en.wikipedia.org/wiki/Humana_Inc.,Humana
HBAN,Huntington Bancshares,reports,Financials,Regional Banks,"Columbus, Ohio",,49196,1866,https://en.wikipedia.org/wiki/Huntington_Bancshares,Huntington Bancshares
HII,Huntington Ingalls Industries,reports,Industrials,Aerospace & Defense,"Newport News, Virginia",1/3/2018,1501585,,https://en.wikipedia.org/wiki/Huntington_Ingalls_Industries,Huntington Ingalls Industries
IBM,International Business Machines,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",,51143,1911,https://en.wikipedia.org/wiki/IBM,IBM
IEX,IDEX Corporation,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",8/9/2019,832101,1988,https://en.wikipedia.org/wiki/IDEX_Corporation,IDEX Corporation
IDXX,IDEXX Laboratories,reports,Health Care,Health Care Equipment,"Westbrook, Maine",1/5/2017,874716,,https://en.wikipedia.org/wiki/Idexx_Laboratories,Idexx Laboratories
INFO,IHS Markit Ltd.,reports,Industrials,Research & Consulting Services,"London, United Kingdom",6/2/2017,1598014,,https://en.wikipedia.org/wiki/IHS_Markit,IHS Markit
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",2/28/1986,49826,,https://en.wikipedia.org/wiki/Illinois_Tool_Works,Illinois Tool Works
ILMN,Illumina Inc,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",11/19/2015,1110803,,https://en.wikipedia.org/wiki/Illumina_(company),"Illumina, Inc."
INCY,Incyte,reports,Health Care,Biotechnology,"Wilmington, Delaware",2/28/2017,879169,,https://en.wikipedia.org/wiki/Incyte,Incyte
INTC,Intel Corp.,reports,Information Technology,Semiconductors,"Santa Clara, California",12/31/1976,50863,,https://en.wikipedia.org/wiki/Intel_Corp.,Intel
ICE,Intercontinental Exchange,reports,Financials,Financial Exchanges & Data,"Atlanta, Georgia",9/26/2007,1571949,,https://en.wikipedia.org/wiki/Intercontinental_Exchange,Intercontinental Exchange
IFF,Intl Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York, New York",3/31/1976,51253,,https://en.wikipedia.org/wiki/Intl_Flavors_%26_Fragrances,International Flavors & Fragrances
IP,International Paper,reports,Materials,Paper Packaging,"Memphis, Tennessee",,51434,1898,https://en.wikipedia.org/wiki/International_Paper,International Paper
INTU,Intuit Inc.,reports,Information Technology,Application Software,"Mountain View, California",12/5/2000,896878,,https://en.wikipedia.org/wiki/Intuit_Inc.,Intuit
ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care Equipment,"Sunnyvale, California",6/2/2008,1035267,,https://en.wikipedia.org/wiki/Intuitive_Surgical_Inc.,Intuitive Surgical
IVZ,Invesco Ltd.,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/2008,914208,,https://en.wikipedia.org/wiki/Invesco_Ltd.,Invesco
IPGP,IPG Photonics Corp.,reports,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",3/7/2018,1111928,,https://en.wikipedia.org/wiki/IPG_Photonics,IPG Photonics
IQV,IQVIA Holdings Inc.,reports,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",8/29/2017,1478242,,https://en.wikipedia.org/wiki/IQVIA,IQVIA
IRM,Iron Mountain Incorporated,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",1/6/2009,1020569,,https://en.wikipedia.org/wiki/Iron_Mountain_Incorporated,Iron Mountain
JBHT,J. B. Hunt Transport Services,reports,Industrials,Trucking,"Lowell, Arkansas",7/1/2015,728535,,https://en.wikipedia.org/wiki/J._B._Hunt_Transport_Services,J.B. Hunt Transport
JKHY,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",11/13/2018,779152,,https://en.wikipedia.org/wiki/Jack_Henry_%26_Associates,Jack Henry & Associates
J,Jacobs Engineering Group,reports,Industrials,Construction & Engineering,"Pasadena, California",10/26/2007,52988,,https://en.wikipedia.org/wiki/Jacobs_Engineering_Group,Jacobs Engineering Group
DE,Deere & Co.,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,315189,1837,https://en.wikipedia.org/wiki/Deere_%26_Co.,John Deere
JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",6/30/1973,200406,1886,https://en.wikipedia.org/wiki/Johnson_%26_Johnson,Johnson & Johnson
JCI,Johnson Controls International,reports,Industrials,Building Products,"Cork, Ireland",8/27/2010,833444,,https://en.wikipedia.org/wiki/Johnson_Controls,Johnson Controls
JNPR,Juniper Networks,reports,Information Technology,Communications Equipment,"Sunnyvale, California",,1043604,1996,https://en.wikipedia.org/wiki/Juniper_Networks,Juniper Networks
KSU,Kansas City Southern,reports,Industrials,Railroads,"Kansas City, Missouri",5/24/2013,54480,,https://en.wikipedia.org/wiki/Kansas_City_Southern_(company),Kansas City Southern
K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067,1906,https://en.wikipedia.org/wiki/Kellogg_Co.,Kellogg Company
KEY,KeyCorp,reports,Financials,Regional Banks,"Cleveland, Ohio",3/1/1994,91576,,https://en.wikipedia.org/wiki/KeyCorp,KeyBank
KEYS,Keysight Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",11/6/2018,1601046,2014,https://en.wikipedia.org/wiki/Keysight_Technologies,Keysight
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",,55785,1872,https://en.wikipedia.org/wiki/Kimberly-Clark,Kimberly-Clark
KIM,Kimco Realty,reports,Real Estate,Retail REITs,"New Hyde Park, New York",4/4/2006,879101,,https://en.wikipedia.org/wiki/Kimco_Realty,Kimco Realty
KMI,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",5/25/2012,1506307,,https://en.wikipedia.org/wiki/Kinder_Morgan,Kinder Morgan
KLAC,KLA Corporation,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201,1975/1977 (1997),https://en.wikipedia.org/wiki/KLA_Corporation,KLA Corporation
KSS,Kohl's Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,885639,1962,https://en.wikipedia.org/wiki/Kohl%27s_Corp.,Kohl's
KHC,Kraft Heinz Co,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",7/6/2015,1637459,,https://en.wikipedia.org/wiki/Kraft_Heinz,Kraft Heinz
KR,Kroger Co.,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",,56873,1883,https://en.wikipedia.org/wiki/Kroger_Co.,Kroger
LHX,L3Harris Technologies,reports,Industrials,Aerospace & Defense,"Melbourne, Florida",,202058,,https://en.wikipedia.org/wiki/L3Harris_Technologies,L3Harris Technologies
LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care Services,"Burlington, North Carolina",11/1/2004,920148,,https://en.wikipedia.org/wiki/Laboratory_Corp._of_America_Holding,Labcorp
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",6/29/2012,707549,,https://en.wikipedia.org/wiki/Lam_Research,Lam Research
LW,Lamb Weston Holdings Inc,reports,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",12/3/2018,1679273,,https://en.wikipedia.org/wiki/Lamb_Weston_Holdings_Inc,Lamb Weston
LVS,Las Vegas Sands,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",10/3/2019,1300514,,https://en.wikipedia.org/wiki/Las_Vegas_Sands,Las Vegas Sands
LEG,Leggett & Platt,reports,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,58492,1883,https://en.wikipedia.org/wiki/Leggett_%26_Platt,Leggett & Platt
LDOS,Leidos Holdings,reports,Information Technology,IT Consulting & Other Services,"Reston, Virginia",8/9/2019,1336920,1969,https://en.wikipedia.org/wiki/Leidos_Holdings,Leidos
LEN,Lennar Corp.,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",10/4/2005,920760,,https://en.wikipedia.org/wiki/Lennar_Corp.,Lennar
LNC,Lincoln National,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",6/30/1976,59558,,https://en.wikipedia.org/wiki/Lincoln_National,Lincoln National Corporation
LIN,Linde plc,reports,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",7/1/1992,1707925,,https://en.wikipedia.org/wiki/Linde_plc,Linde plc
LYV,Live Nation Entertainment,reports,Communications Services,Movies & Entertainment,"Beverly Hills, California",12/23/2019,1335258,1/25/2010,https://en.wikipedia.org/wiki/Live_Nation_Entertainment,Live Nation Entertainment
LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",5/23/2016,1065696,,https://en.wikipedia.org/wiki/LKQ_Corporation,LKQ Corporation
LMT,Lockheed Martin Corp.,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",7/31/1984,936468,,https://en.wikipedia.org/wiki/Lockheed_Martin_Corp.,Lockheed Martin
L,Loews Corp.,reports,Financials,Multi-line Insurance,"New York, New York",,60086,,https://en.wikipedia.org/wiki/Loews_Corp.,Loews Hotels & Co
LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/1984,60667,1904/1946/1959,https://en.wikipedia.org/wiki/Lowe%27s_Cos.,Lowe's Home Improvement
CTL,CenturyLink Inc,reports,Communication Services,Integrated Telecommunication Services,"Monroe, Louisiana",3/25/1999,18926,,https://en.wikipedia.org/wiki/CenturyLink_Inc,Lumen Technologies
LYB,LyondellBasell,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",9/5/2012,1489393,,https://en.wikipedia.org/wiki/LyondellBasell,LyondellBasell
MTB,M&T Bank Corp.,reports,Financials,Regional Banks,"Buffalo, New York",,36270,1856,https://en.wikipedia.org/wiki/M%26T_Bank_Corp.,M&T Bank
M,Macy's Inc.,reports,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",,794367,1929,https://en.wikipedia.org/wiki/Macy%27s_Inc.,"Macy's, Inc."
MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",5/1/1991,101778,,https://en.wikipedia.org/wiki/Marathon_Oil_Corp.,Marathon Oil
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",7/1/2011,1510295,,https://en.wikipedia.org/wiki/Marathon_Petroleum,Marathon Petroleum
MKTX,MarketAxess,reports,Financials,Financial Exchanges & Data,"New York, New York",7/1/2019,1278021,2000,https://en.wikipedia.org/wiki/MarketAxess,MarketAxess
MAR,Marriott Int'l.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1927,https://en.wikipedia.org/wiki/Marriott_Int%27l.,Marriott International
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York, New York",8/31/1987,62709,,https://en.wikipedia.org/wiki/Marsh_%26_McLennan,Marsh McLennan
MLM,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",7/2/2014,916076,,https://en.wikipedia.org/wiki/Martin_Marietta_Materials,Martin Marietta Materials
MAS,Masco Corp.,reports,Industrials,Building Products,"Taylor, Michigan",6/30/1981,62996,,https://en.wikipedia.org/wiki/Masco_Corp.,Masco
MA,Mastercard Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",7/18/2008,1141391,,https://en.wikipedia.org/wiki/Mastercard_Inc.,Mastercard
MXIM,Maxim Integrated Products Inc,reports,Information Technology,Semiconductors,"San Jose, California",12/3/2018,743316,1983,https://en.wikipedia.org/wiki/Maxim_Integrated,Maxim Integrated
MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",,63754,1889,https://en.wikipedia.org/wiki/McCormick_%26_Co.,McCormick & Company
MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",6/30/1970,63908,1940,https://en.wikipedia.org/wiki/McDonald%27s_Corp.,McDonald's
MCK,McKesson Corp.,reports,Health Care,Health Care Distributors,"Irving, Texas",,927653,1833,https://en.wikipedia.org/wiki/McKesson_Corp.,McKesson Corporation
MDT,Medtronic plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",10/31/1986,1613103,,https://en.wikipedia.org/wiki/Medtronic_plc,Medtronic
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",,310158,1891,https://en.wikipedia.org/wiki/Merck_%26_Co.,Merck & Co.
FB,"Facebook, Inc.",reports,Communication Services,Interactive Media & Services,"Menlo Park, California",12/23/2013,1326801,,"https://en.wikipedia.org/wiki/Facebook,_Inc.",Meta Platforms
MET,MetLife Inc.,reports,Financials,Life & Health Insurance,"New York, New York",,1099219,1868,https://en.wikipedia.org/wiki/MetLife_Inc.,MetLife
MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",9/6/2016,1037646,,https://en.wikipedia.org/wiki/Mettler_Toledo,Mettler Toledo
MGM,MGM Resorts International,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",7/26/2017,789570,,https://en.wikipedia.org/wiki/MGM_Resorts_International,MGM Resorts International
MCHP,Microchip Technology,reports,Information Technology,Semiconductors,"Chandler, Arizona",9/7/2007,827054,,https://en.wikipedia.org/wiki/Microchip_Technology,Microchip Technology
MU,Micron Technology,reports,Information Technology,Semiconductors,"Boise, Idaho",9/27/1994,723125,,https://en.wikipedia.org/wiki/Micron_Technology,Micron Technology
MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,"Redmond, Washington",6/1/1994,789019,1975,https://en.wikipedia.org/wiki/Microsoft_Corp.,Microsoft
MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,"Memphis, Tennessee",12/2/2016,912595,,https://en.wikipedia.org/wiki/Mid-America_Apartments,Mid-America Apartment Communities
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",12/23/2013,851968,,https://en.wikipedia.org/wiki/Mohawk_Industries,Mohawk Industries
TAP,Molson Coors Brewing Company,reports,Consumer Staples,Brewers,"Denver, Colorado",6/30/1976,24545,,https://en.wikipedia.org/wiki/Molson_Coors_Brewing_Company,Molson Coors
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Deerfield, Illinois",10/2/2012,1103982,,https://en.wikipedia.org/wiki/Mondelez_International,Mondelez International
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",6/28/2012,865752,,https://en.wikipedia.org/wiki/Monster_Beverage,Monster Beverage
MCO,Moody's Corp,reports,Financials,Financial Exchanges & Data,"New York, New York",,1059556,1909,https://en.wikipedia.org/wiki/Moody%27s_Corp,Moody's Corporation
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,"New York, New York",,895421,1935,https://en.wikipedia.org/wiki/Morgan_Stanley,Morgan Stanley
MSI,Motorola Solutions Inc.,reports,Information Technology,Communications Equipment,"Schaumburg, Illinois",,68505,1928 (2011),https://en.wikipedia.org/wiki/Motorola_Solutions_Inc.,Motorola Solutions
MSCI,MSCI Inc,reports,Financials,Financial Exchanges & Data,"New York, New York",4/4/2018,1408198,,https://en.wikipedia.org/wiki/MSCI_Inc,MSCI
MYL,Mylan N.V.,reports,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",4/23/2004,1623613,,https://en.wikipedia.org/wiki/Mylan_N.V.,Mylan
