Symbol,Company Name,Date,TobinsQ
AVB,AvalonBay Communities,31-12-19,1.543483723
AVB,AvalonBay Communities,31-12-18,1.313778332
AVB,AvalonBay Communities,29-12-17,1.336137133
AVB,AvalonBay Communities,30-12-16,1.36104917
AVB,AvalonBay Communities,31-12-15,1.491522911
AVY,Avery Dennison,30-12-22,1.871354003
AVY,Avery Dennison,31-12-21,2.228134542
AVY,Avery Dennison,31-12-19,1.985873889
AVY,Avery Dennison,31-12-18,1.462611106
AVY,Avery Dennison,29-12-17,1.967919484
AVY,Avery Dennison,30-12-16,1.410483156
BKR,Baker Hughes,30-12-22,0.863930254
BKR,Baker Hughes,31-12-21,0.675858888
BKR,Baker Hughes,31-12-20,0.472441668
BKR,Baker Hughes,31-12-19,0.410215692
BKR,Baker Hughes,31-12-18,0.287057267
BKR,Baker Hughes,29-12-17,0.3536623
BLL,Ball Corporation,31-12-21,1.571704725
BLL,Ball Corporation,31-12-20,1.679242935
BLL,Ball Corporation,31-12-19,1.216895652
BLL,Ball Corporation,31-12-18,0.934243722
BLL,Ball Corporation,29-12-17,0.776938681
BLL,Ball Corporation,30-12-16,0.739491129
BLL,Ball Corporation,31-12-15,1.055862075
BLL,Ball Corporation,31-12-14,1.268945973
BAC,Bank of America,30-12-22,0.087810656
BAC,Bank of America,31-12-21,0.114215745
BAC,Bank of America,31-12-20,0.09352302
BAC,Bank of America,31-12-19,0.127557664
BAC,Bank of America,31-12-18,0.101781891
BAC,Bank of America,29-12-17,0.135494315
BAC,Bank of America,30-12-16,0.103889675
BAC,Bank of America,31-12-15,0.081152998
BAX,Baxter International,30-12-22,0.910146324
BAX,Baxter International,31-12-21,1.284638408
BAX,Baxter International,31-12-20,2.027885097
BAX,Baxter International,31-12-19,2.334159555
BAX,Baxter International,31-12-18,2.157618285
BAX,Baxter International,29-12-17,2.050325369
BAX,Baxter International,30-12-16,1.556289535
BAX,Baxter International,31-12-15,0.999444073
BDX,BD,30-12-22,1.371285871
BDX,BD,31-12-21,1.331691784
BDX,BD,31-12-20,1.348548302
BDX,BD,31-12-19,1.429144163
BDX,BD,31-12-18,1.128113169
BDX,BD,29-12-17,1.304975202
BDX,BD,30-12-16,1.378595529
BDX,BD,31-12-15,1.220706496
BRK.B,Berkshire Hathaway,30-12-22,0
BRK.B,Berkshire Hathaway,31-12-21,0
BRK.B,Berkshire Hathaway,31-12-20,0
BRK.B,Berkshire Hathaway,31-12-19,0
BRK.B,Berkshire Hathaway,31-12-18,0
BRK.B,Berkshire Hathaway,29-12-17,0
BRK.B,Berkshire Hathaway,30-12-16,0
BRK.B,Berkshire Hathaway,31-12-15,0
BBY,Best Buy,30-12-22,1.012248
BBY,Best Buy,31-12-21,1.315093093
BBY,Best Buy,31-12-20,1.661566545
BBY,Best Buy,31-12-19,1.767433532
BBY,Best Buy,31-12-18,1.091749559
BBY,Best Buy,29-12-17,1.484439088
BBY,Best Buy,30-12-16,0.988868333
BIIB,Biogen,30-12-22,1.74808725
BIIB,Biogen,31-12-21,1.482007575
BIIB,Biogen,31-12-20,1.509929079
BIIB,Biogen,31-12-19,1.882450658
BIIB,Biogen,31-12-18,2.338660943
BIIB,Biogen,29-12-17,2.861669138
BIIB,Biogen,30-12-16,2.68361687
BIIB,Biogen,31-12-15,3.438499028
BLK,BlackRock,30-12-22,0.911936577
BLK,BlackRock,31-12-21,0.916598093
BLK,BlackRock,31-12-20,0.625943207
BLK,BlackRock,31-12-19,0.467164521
BLK,BlackRock,31-12-18,0.389751678
BLK,BlackRock,29-12-17,0.376308116
BLK,BlackRock,30-12-16,0.282548771
BLK,BlackRock,31-12-15,0.250097547
BK,BNY Mellon,30-12-22,0.091068277
BK,BNY Mellon,31-12-21,0.106302417
BK,BNY Mellon,31-12-20,0.079988475
BK,BNY Mellon,31-12-19,0.118031805
BK,BNY Mellon,31-12-18,0.124916314
BK,BNY Mellon,29-12-17,0.150045587
BK,BNY Mellon,30-12-16,0.151850408
BK,BNY Mellon,31-12-15,0.113284226
BA,Boeing,30-12-22,0.83124492
BA,Boeing,31-12-21,0.860271014
BA,Boeing,31-12-20,0.824418842
BA,Boeing,31-12-19,1.381647793
BA,Boeing,31-12-18,1.559097747
BA,Boeing,29-12-17,1.906615806
BA,Boeing,30-12-16,1.07347674
BA,Boeing,31-12-15,1.009337693
BWA,BorgWarner,30-12-22,0.56725763
BWA,BorgWarner,31-12-21,0.66020995
BWA,BorgWarner,31-12-20,0.583787453
BWA,BorgWarner,31-12-19,0.933005646
BWA,BorgWarner,31-12-18,0.72177592
BWA,BorgWarner,29-12-17,1.110640698
BWA,BorgWarner,30-12-16,0.95663989
BWA,BorgWarner,31-12-15,1.073482583
BXP,Boston Properties,30-12-22,0.480226007
BXP,Boston Properties,31-12-21,0.895143657
BXP,Boston Properties,31-12-20,0.715827835
BXP,Boston Properties,31-12-19,1.127873891
BXP,Boston Properties,31-12-18,0.970216402
BXP,Boston Properties,29-12-17,1.17490069
BXP,Boston Properties,30-12-16,1.157324105
BXP,Boston Properties,31-12-15,1.20932623
BSX,Boston Scientific,30-12-22,2.038536296
BSX,Boston Scientific,31-12-21,1.881878498
BSX,Boston Scientific,31-12-20,1.657101339
BSX,Boston Scientific,31-12-19,2.067411353
BSX,Boston Scientific,31-12-18,2.335523288
BSX,Boston Scientific,29-12-17,1.787936926
BSX,Boston Scientific,30-12-16,1.622728117
BSX,Boston Scientific,31-12-15,1.373262891
ADS,Bread Financial,31-12-21,0.152756507
ADS,Bread Financial,31-12-20,0.163336748
ADS,Bread Financial,31-12-19,0.201576158
ADS,Bread Financial,31-12-18,0.26175854
ADS,Bread Financial,29-12-17,0.460124752
ADS,Bread Financial,30-12-16,0.515855938
ADS,Bread Financial,31-12-15,0.737624271
ADS,Bread Financial,31-12-14,0.890731124
BMY,Bristol Myers Squibb,30-12-22,1.600904788
BMY,Bristol Myers Squibb,31-12-21,1.224697494
BMY,Bristol Myers Squibb,31-12-20,1.171237196
BMY,Bristol Myers Squibb,31-12-19,1.116270448
BMY,Bristol Myers Squibb,31-12-18,2.434374319
BMY,Bristol Myers Squibb,29-12-17,2.99208372
BMY,Bristol Myers Squibb,30-12-16,2.911806065
BMY,Bristol Myers Squibb,31-12-15,3.634394112
AVGO,Broadcom Inc.,30-12-22,3.190710317
AVGO,Broadcom Inc.,31-12-21,3.627748048
